REF_DATE,Type of currency,VALUE
2023-07-30,"U.S. dollar, daily average",
2023-07-31,"U.S. dollar, daily average",1.3177
2023-08-01,"U.S. dollar, daily average",1.3291
2023-08-02,"U.S. dollar, daily average",1.3335
2023-08-03,"U.S. dollar, daily average",1.3351
2023-08-04,"U.S. dollar, daily average",1.3355
2023-08-05,"U.S. dollar, daily average",
2023-08-06,"U.S. dollar, daily average",
2023-08-07,"U.S. dollar, daily average",
2023-08-08,"U.S. dollar, daily average",1.3456
2023-08-09,"U.S. dollar, daily average",1.3431
2023-08-10,"U.S. dollar, daily average",1.3409
2023-08-11,"U.S. dollar, daily average",1.3443
2023-08-12,"U.S. dollar, daily average",
2023-08-13,"U.S. dollar, daily average",
2023-08-14,"U.S. dollar, daily average",1.3461
2023-08-15,"U.S. dollar, daily average",1.3482
2023-08-16,"U.S. dollar, daily average",1.3518
2023-08-17,"U.S. dollar, daily average",1.3524
2023-08-18,"U.S. dollar, daily average",1.3552
2023-08-19,"U.S. dollar, daily average",
2023-08-20,"U.S. dollar, daily average",
2023-08-21,"U.S. dollar, daily average",1.3543
2023-08-22,"U.S. dollar, daily average",1.3549
2023-08-23,"U.S. dollar, daily average",1.3552
2023-08-24,"U.S. dollar, daily average",1.3565
2023-08-25,"U.S. dollar, daily average",1.3606
2023-08-26,"U.S. dollar, daily average",
2023-08-27,"U.S. dollar, daily average",
2023-08-28,"U.S. dollar, daily average",1.3596
2023-08-29,"U.S. dollar, daily average",1.3593
2023-08-30,"U.S. dollar, daily average",1.3535
2023-08-31,"U.S. dollar, daily average",1.3531
2023-09-01,"U.S. dollar, daily average",1.358
2023-09-02,"U.S. dollar, daily average",
2023-09-03,"U.S. dollar, daily average",
2023-09-04,"U.S. dollar, daily average",
2023-09-05,"U.S. dollar, daily average",1.3627
2023-09-06,"U.S. dollar, daily average",1.3654
2023-09-07,"U.S. dollar, daily average",1.3674
2023-09-08,"U.S. dollar, daily average",1.3632
2023-09-09,"U.S. dollar, daily average",
2023-09-10,"U.S. dollar, daily average",
2023-09-11,"U.S. dollar, daily average",1.3581
2023-09-12,"U.S. dollar, daily average",1.356
2023-09-13,"U.S. dollar, daily average",1.3551
2023-09-14,"U.S. dollar, daily average",1.3515
2023-09-15,"U.S. dollar, daily average",1.3526
2023-09-16,"U.S. dollar, daily average",
2023-09-17,"U.S. dollar, daily average",
2023-09-18,"U.S. dollar, daily average",1.3491
2023-09-19,"U.S. dollar, daily average",1.3426
2023-09-20,"U.S. dollar, daily average",1.3423
2023-09-21,"U.S. dollar, daily average",1.3486
2023-09-22,"U.S. dollar, daily average",1.3464
2023-09-23,"U.S. dollar, daily average",
2023-09-24,"U.S. dollar, daily average",
2023-09-25,"U.S. dollar, daily average",1.3471
2023-09-26,"U.S. dollar, daily average",1.3509
2023-09-27,"U.S. dollar, daily average",1.3515
2023-09-28,"U.S. dollar, daily average",1.3493
2023-09-29,"U.S. dollar, daily average",1.352
2023-09-30,"U.S. dollar, daily average",
2023-10-01,"U.S. dollar, daily average",
2023-10-02,"U.S. dollar, daily average",
2023-10-03,"U.S. dollar, daily average",1.3711
2023-10-04,"U.S. dollar, daily average",1.3743
2023-10-05,"U.S. dollar, daily average",1.3733
2023-10-06,"U.S. dollar, daily average",1.3683
2023-10-07,"U.S. dollar, daily average",
2023-10-08,"U.S. dollar, daily average",
2023-10-09,"U.S. dollar, daily average",
2023-10-10,"U.S. dollar, daily average",1.3591
2023-10-11,"U.S. dollar, daily average",1.3603
2023-10-12,"U.S. dollar, daily average",1.3657
2023-10-13,"U.S. dollar, daily average",1.3661
2023-10-14,"U.S. dollar, daily average",
2023-10-15,"U.S. dollar, daily average",
2023-10-16,"U.S. dollar, daily average",1.3619
2023-10-17,"U.S. dollar, daily average",1.3647
2023-10-18,"U.S. dollar, daily average",1.3685
2023-10-19,"U.S. dollar, daily average",1.3715
2023-10-20,"U.S. dollar, daily average",1.3695
2023-10-21,"U.S. dollar, daily average",
2023-10-22,"U.S. dollar, daily average",
2023-10-23,"U.S. dollar, daily average",1.3693
2023-10-24,"U.S. dollar, daily average",1.3731
2023-10-25,"U.S. dollar, daily average",1.3782
2023-10-26,"U.S. dollar, daily average",1.3825
2023-10-27,"U.S. dollar, daily average",1.3857
2023-10-28,"U.S. dollar, daily average",
2023-10-29,"U.S. dollar, daily average",
2023-10-30,"U.S. dollar, daily average",1.3833
2023-10-31,"U.S. dollar, daily average",1.3871
2023-11-01,"U.S. dollar, daily average",1.3875
2023-11-02,"U.S. dollar, daily average",1.3778
2023-11-03,"U.S. dollar, daily average",1.3683
2023-11-04,"U.S. dollar, daily average",
2023-11-05,"U.S. dollar, daily average",
2023-11-06,"U.S. dollar, daily average",1.3676
2023-11-07,"U.S. dollar, daily average",1.376
2023-11-08,"U.S. dollar, daily average",1.3797
2023-11-09,"U.S. dollar, daily average",1.3781
2023-11-10,"U.S. dollar, daily average",1.3819
2023-11-11,"U.S. dollar, daily average",
2023-11-12,"U.S. dollar, daily average",
2023-11-13,"U.S. dollar, daily average",
2023-11-14,"U.S. dollar, daily average",1.3725
2023-11-15,"U.S. dollar, daily average",1.3675
2023-11-16,"U.S. dollar, daily average",1.375
2023-11-17,"U.S. dollar, daily average",1.3722
2023-11-18,"U.S. dollar, daily average",
2023-11-19,"U.S. dollar, daily average",
2023-11-20,"U.S. dollar, daily average",1.3726
2023-11-21,"U.S. dollar, daily average",1.3698
2023-11-22,"U.S. dollar, daily average",1.3723
2023-11-23,"U.S. dollar, daily average",1.3699
2023-11-24,"U.S. dollar, daily average",1.3623
2023-11-25,"U.S. dollar, daily average",
2023-11-26,"U.S. dollar, daily average",
2023-11-27,"U.S. dollar, daily average",1.3635
2023-11-28,"U.S. dollar, daily average",1.3581
2023-11-29,"U.S. dollar, daily average",1.359
2023-11-30,"U.S. dollar, daily average",1.3582
2023-12-01,"U.S. dollar, daily average",1.3507
2023-12-02,"U.S. dollar, daily average",
2023-12-03,"U.S. dollar, daily average",
2023-12-04,"U.S. dollar, daily average",1.3541
2023-12-05,"U.S. dollar, daily average",1.3579
2023-12-06,"U.S. dollar, daily average",1.3574
2023-12-07,"U.S. dollar, daily average",1.3597
2023-12-08,"U.S. dollar, daily average",1.3588
2023-12-09,"U.S. dollar, daily average",
2023-12-10,"U.S. dollar, daily average",
2023-12-11,"U.S. dollar, daily average",1.357
2023-12-12,"U.S. dollar, daily average",1.3599
2023-12-13,"U.S. dollar, daily average",1.3561
2023-12-14,"U.S. dollar, daily average",1.3419
2023-12-15,"U.S. dollar, daily average",1.3378
2023-12-16,"U.S. dollar, daily average",
2023-12-17,"U.S. dollar, daily average",
2023-12-18,"U.S. dollar, daily average",1.3387
2023-12-19,"U.S. dollar, daily average",1.3344
2023-12-20,"U.S. dollar, daily average",1.3331
2023-12-21,"U.S. dollar, daily average",1.3311
2023-12-22,"U.S. dollar, daily average",1.3258
2023-12-23,"U.S. dollar, daily average",
2023-12-24,"U.S. dollar, daily average",
2023-12-25,"U.S. dollar, daily average",
2023-12-26,"U.S. dollar, daily average",
2023-12-27,"U.S. dollar, daily average",1.3205
2023-12-28,"U.S. dollar, daily average",1.3212
2023-12-29,"U.S. dollar, daily average",1.3226
2023-12-30,"U.S. dollar, daily average",
2023-12-31,"U.S. dollar, daily average",
